Price,count,mean,std,min,25%,50%,75%,max
Close,77.0,902.8896103896104,48.78968307163869,837.2000122070312,863.0,880.25,961.0,984.0
High,77.0,908.3013004451603,48.605673754016046,842.3499755859375,870.75,885.7999877929688,964.0,987.8499755859375
Low,77.0,898.7876610693994,48.994592639656716,825.6500244140625,856.25,873.5999755859375,957.0,975.9500122070312
Open,77.0,903.7720772879464,48.888513585608536,837.8499755859375,864.25,880.2999877929688,961.0,984.9500122070312
Volume,77.0,281459.16883116885,408756.5712378406,0.0,98766.0,183769.0,306656.0,2743405.0
MA7,77.0,907.3684596130711,48.580790556589605,844.135724748884,859.9214215959821,887.028564453125,963.6857125418527,972.0857195172991
MA21,77.0,918.0479280734845,46.93509327225065,852.2309541248139,869.6142868768601,922.6976173037574,967.278570265997,974.9166666666666
RSI,77.0,36.85330003743571,9.247388957305777,16.685407244967607,27.842554277920556,39.624670276960686,43.041716626383064,58.47086379952555
daily_return,77.0,-0.16385493476010385,0.8684302553091168,-3.9395572019154335,-0.4858898238751186,-0.14517050794488062,0.3224837886673715,1.8265082270362498
volatility,77.0,0.841199938899866,0.21928110157918987,0.4826037596378196,0.6408458336078483,0.8459966592708866,0.9482952137862886,1.2561248972492194
