Price,count,mean,std,min,25%,50%,75%,max
Close,182.0,943.9255478408311,49.68124526615468,837.2000122070312,904.2999877929688,962.2000122070312,980.4749908447266,1016.9000244140625
High,182.0,949.1357146881439,49.365560301954254,842.3499755859375,907.8000183105469,967.875,984.9875030517578,1019.0
Low,182.0,939.3398330185439,49.77338256791033,825.6500244140625,896.7875213623047,957.7749938964844,976.6124877929688,1014.25
Open,182.0,944.1678574111436,49.505432990738804,837.8499755859375,904.3999938964844,962.0,981.5749816894531,1019.0
Volume,182.0,310391.36813186813,533177.7940408499,0.0,103922.5,182946.0,321668.75,5773682.0
MA7,182.0,943.9183265290791,48.56923597474926,844.135724748884,898.664287022182,963.7928510393415,979.5821402413504,1005.664289202009
MA21,182.0,943.456879939664,46.90960246005087,841.6071457635788,904.4398789178757,967.2809520903088,977.7238057454427,997.2142886207217
RSI,182.0,50.502230875733254,16.97753552602346,17.216156202101658,38.484198042177816,46.160560189918996,64.88074288662308,87.628759055401
daily_return,182.0,0.005620981653835838,1.0711343035428893,-4.609983667622897,-0.42791948612174446,-0.02773798963288665,0.3552736139962487,8.576616401102788
volatility,182.0,0.9697447092136806,0.4559525785005293,0.45301452917243,0.600892338177169,0.8860177626583796,1.1634960731994062,2.1295774048662457
