Price,count,mean,std,min,25%,50%,75%,max
Close,28.0,2543.31787109375,30.453477406237404,2494.89990234375,2515.10009765625,2549.75,2563.625,2604.800048828125
High,28.0,2554.8142700195312,32.66371876064693,2501.89990234375,2528.949951171875,2560.0,2572.9500122070312,2619.0
Low,28.0,2535.19287109375,29.723795437745686,2490.199951171875,2509.9750366210938,2539.800048828125,2557.5499877929688,2590.800048828125
Open,28.0,2545.4535696847097,31.330893580786853,2495.800048828125,2514.9000854492188,2549.89990234375,2565.3499145507812,2604.699951171875
Volume,28.0,416029.53571428574,281066.76219367475,0.0,271852.5,362480.0,567103.0,1040593.0
MA7,28.0,2552.087256606744,26.641750527038827,2507.600027901786,2526.6893136160716,2563.035714285714,2575.9250052315847,2587.2428152901784
MA21,28.0,2573.2061265179905,21.60546840868565,2536.638113839286,2554.6964401971727,2575.364281063988,2588.578566778274,2610.9619024367557
RSI,28.0,33.621783215609426,10.178106972678478,9.78156319872781,31.400457790612197,35.82742755484504,38.71337625206845,54.30646548423971
daily_return,28.0,-0.08995196059492742,0.6239778183563885,-1.8517128517938297,-0.4440803990856723,-0.18177245574908518,0.24446822217633057,1.3413547453596797
volatility,28.0,0.5172422253094892,0.15662616619721073,0.28610056050055527,0.4033506810372935,0.5016371595243412,0.6719574446010204,0.6913992128182799
