Price,count,mean,std,min,25%,50%,75%,max
Close,77.0,139.87415561428318,1.980251184709128,136.35000610351562,138.92999267578125,139.5,141.00999450683594,144.6699981689453
High,77.0,140.41896076945517,2.0283508382590365,136.72999572753906,139.1999969482422,139.99000549316406,141.58999633789062,145.60000610351562
Low,77.0,139.21506470519228,2.2743759839357143,131.85000610351562,138.5,138.89999389648438,140.60000610351562,144.25
Open,77.0,139.7790907822646,2.3364805810457994,131.85000610351562,138.88999938964844,139.57000732421875,141.05999755859375,145.0
Volume,77.0,1368700.87012987,1133808.6050694282,0.0,706561.0,1060719.0,1902709.0,5347227.0
MA7,77.0,140.04916492242756,1.9467872240435378,137.10142953055245,138.96285574776786,139.45142909458704,141.03142656598772,143.80428641183036
MA21,77.0,140.3628568914693,1.8538509866981174,137.89190455845423,139.01237996419272,139.41523815336683,142.3876190185547,143.51904660179503
RSI,77.0,46.3509013278592,7.764095261103898,25.101037204552725,40.08753050550612,47.824997279727626,50.93587535052358,63.33314561717397
daily_return,77.0,-0.0400166270981822,0.5939669612798322,-2.551098515032213,-0.24302812918075567,-0.014366756443373596,0.21644139953695962,1.8453458681263468
volatility,77.0,0.6155310275797533,0.16126559369489193,0.3501310999499801,0.5213414380185641,0.6080252399316831,0.7340223236503342,0.890408595547903
