Price,count,mean,std,min,25%,50%,75%,max
Close,182.0,143.8793409578093,5.00260971483487,136.35000610351562,140.04249572753906,142.7550048828125,148.08000564575195,155.3000030517578
High,182.0,144.5910435770894,5.144567848803043,136.72999572753906,140.5250015258789,143.47000122070312,149.0925064086914,156.6199951171875
Low,182.0,143.1651099907173,5.00823961754452,131.85000610351562,139.2974967956543,142.31500244140625,147.61750411987305,154.10000610351562
Open,182.0,143.87153860238882,5.119039809267329,131.85000610351562,140.04249572753906,142.83499908447266,148.08750534057617,155.35000610351562
Volume,182.0,2078334.489010989,2752748.763850055,0.0,761945.25,1300361.5,2217112.25,19087333.0
MA7,182.0,143.80532211710928,4.912424522863151,135.45714024135046,139.86678477696012,142.99214390345983,148.49142892020092,153.9242880684989
MA21,182.0,143.61450585765027,4.686988529552753,134.7971431187221,139.39261790684293,142.75571477980841,146.8328577677409,153.17333475748697
RSI,182.0,49.69753411625427,13.252250000583178,20.506326104262797,42.37886408788258,48.4214130628543,55.762427971786536,84.01620470578403
daily_return,182.0,0.01677574558710366,0.8378508248463107,-4.183090385667565,-0.38152177734400994,-0.04152224040119834,0.27973400016299554,4.644143508764675
volatility,182.0,0.7723841467352324,0.32975482408362217,0.3501310999499796,0.5326110368625443,0.6677329168758995,1.038022944361745,1.5660261748067072
