Price,count,mean,std,min,25%,50%,75%,max
Close,77.0,499.90649493328937,25.57669193377579,466.0,481.3999938964844,491.5,516.4000244140625,566.9000244140625
High,77.0,501.9383136699726,25.553177367342613,467.54998779296875,482.95001220703125,492.75,518.5499877929688,566.9000244140625
Low,77.0,496.8480541675122,25.045402300383383,463.25,479.25,485.3500061035156,515.1500244140625,566.9000244140625
Open,77.0,498.96428690328224,24.640651642292614,466.0,481.3999938964844,489.79998779296875,517.0,566.9000244140625
Volume,77.0,274634.6883116883,929171.3806924293,0.0,23161.0,35750.0,67784.0,5248818.0
MA7,77.0,498.44295002047335,20.615328101428073,467.3142874581473,481.5500008719308,493.39285714285717,516.5214233398438,554.7642996651786
MA21,77.0,500.4430729589421,17.28383377138701,474.8238089425223,484.0238095238095,500.1309509277344,517.8857131231399,523.3190394810268
RSI,77.0,38.56800587013145,17.51977863760139,10.28658945227356,28.568096167786507,35.578473016168985,41.24384813398657,88.340676957671
daily_return,77.0,0.11212874525730383,1.6430759620060362,-3.3405779307636996,-0.2430724355858005,0.019226719861764607,0.2861936720376823,12.437241047496084
volatility,77.0,0.8768817380486182,0.6822834900139131,0.26551095400518165,0.44762466103614695,0.7792857665046887,0.9518060170364918,2.8928722726471863
