Price,count,mean,std,min,25%,50%,75%,max
Close,28.0,1302.425009591239,8.653699779112985,1288.800048828125,1296.5499877929688,1299.75,1309.9250183105469,1319.0
High,28.0,1307.4928632463727,9.084620362805381,1292.699951171875,1300.1500244140625,1305.3499755859375,1315.75,1326.5
Low,28.0,1297.857142857143,8.532648254393882,1283.300048828125,1291.199951171875,1295.8500366210938,1305.5499877929688,1315.0
Open,28.0,1302.6142752511162,9.542139266045437,1288.800048828125,1296.1749877929688,1299.6500244140625,1309.9500122070312,1320.0
Volume,28.0,1076854.7857142857,671228.3977640109,0.0,698612.0,1078427.5,1419560.0,2566676.0
MA7,28.0,1303.7025638502473,4.25333308278638,1294.2714320591517,1301.5178789411273,1303.085728236607,1305.846435546875,1312.3857247488838
MA21,28.0,1302.2971195558305,3.2637221480678384,1296.866675967262,1298.5095316569011,1304.1190621512278,1304.8035816010974,1306.066673642113
RSI,28.0,50.4093276942172,7.063342814202561,39.722422556582735,44.670769908872984,48.92620185437267,55.5755165380782,65.41172410983185
daily_return,28.0,-0.028265226624568256,0.5294027060686848,-1.3811503690146942,-0.21251577403409438,0.022901579309686504,0.2829645987825202,1.0108707825306817
volatility,28.0,0.5334623213773122,0.03294952929057926,0.4779339427092642,0.5080687310048242,0.5381960876877179,0.5672546969789201,0.5772369282750514
