Price,count,mean,std,min,25%,50%,75%,max
Close,182.0,196.87340671413548,13.100126405465897,173.99000549316406,184.14500045776367,198.91500091552734,209.50499725341797,217.64999389648438
High,182.0,197.85807724837417,13.073138207350063,174.24000549316406,186.57749938964844,200.875,209.94499969482422,219.97999572753906
Low,182.0,196.15313209282172,13.250121259964574,172.24000549316406,181.4775047302246,198.70000457763672,209.27750396728516,217.22999572753906
Open,182.0,197.07401133107615,13.17477915413719,173.0,184.1750030517578,200.7249984741211,209.63750457763672,217.8000030517578
Volume,182.0,398230.53846153844,1354785.6870920944,0.0,80757.25,158668.0,289028.25,13126055.0
MA7,182.0,197.38978817399294,13.030509482000605,175.67286028180803,185.0160696847098,200.6028551374163,209.754643031529,217.03285653250558
MA21,182.0,198.57894047088868,12.630233523898942,177.1661907377697,188.1597620646159,202.30642772856214,210.2908334277925,215.5328572591146
RSI,182.0,38.944357733297664,14.083820769398821,16.1183697957766,31.43597257569906,36.49293734691507,42.83375774019541,80.61022202598755
daily_return,182.0,-0.09379331937489854,1.0663306408575164,-4.872704869061096,-0.3004456420927504,-0.02267837676175888,0.10428372004227526,10.01567846521818
volatility,182.0,0.6677035362520259,0.3761201620211204,0.1982664684448631,0.4874984861567704,0.6500208947794172,0.7128512315336235,2.67560117111626
