Price,count,mean,std,min,25%,50%,75%,max
Close,77.0,183.3954547039874,6.150052286155939,173.99000549316406,178.3000030517578,180.52999877929688,189.47999572753906,196.39999389648438
High,77.0,184.52090890066964,6.406495487077982,174.24000549316406,178.83999633789062,181.8699951171875,189.86000061035156,198.80999755859375
Low,77.0,182.422207720868,5.993823751915556,172.24000549316406,177.77000427246094,179.50999450683594,189.0,191.99000549316406
Open,77.0,183.51714354676085,6.334190497674548,173.0,178.32000732421875,180.5,189.50999450683594,196.27999877929688
Volume,77.0,710763.2727272727,2038897.6890258982,0.0,106256.0,223983.0,329652.0,13126055.0
MA7,77.0,183.92510224804147,6.191876149907436,175.67286028180803,178.43000139508928,181.64285496303015,189.45142909458704,196.13714381626673
MA21,77.0,185.57784818084284,6.844036725950177,177.1661907377697,178.88857232956659,185.2152368454706,191.18809581938245,198.07428632463728
RSI,77.0,35.12553187220474,11.442354747697651,15.9058389370595,29.579490377017677,35.18099000640001,39.40963348596015,80.62205396885064
daily_return,77.0,-0.10719945438158601,1.5300564324073929,-4.872704869061096,-0.48759644346123565,-0.03669146912946841,0.1833164599288395,10.01567846521818
volatility,77.0,0.879865527529672,0.4737724312660773,0.5669339380840672,0.6774773903283177,0.7507246687252361,0.8608823298242387,2.67560117111626
